OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.99101004,Sample-Routine,Water,Surface Water,1991-04-15,17:10:00,MST,,,,,10,meters,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-334040111062000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-48787959,,,Copper,Dissolved,3.0,ug/l,,Historical,,Actual,,,,,,,,,,,01040,,,,,,,,,GF088,USGS,"Copper, wf, GF-AAS",,"USGS OF 93-125, p 71",,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.99101006,Sample-Routine,Water,Surface Water,1991-08-19,13:00:00,MST,,,,,15,meters,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-334040111062000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-48788095,Not Detected,,Copper,Dissolved,,,,Historical,,Actual,,,,,,,,,,,01040,,,,,,,,,GF088,USGS,"Copper, wf, GF-AAS",,"USGS OF 93-125, p 71",,,,,Historical Lower Reporting Limit,1.0,ug/l,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.99201416,Sample-Routine,Water,Surface Water,1992-05-19,11:15:00,MST,,,,,12,meters,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-334040111062000,,SIO2 VALUE UPDATED DUE TO DATA TRANS,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-48834354,,,Copper,Dissolved,10,ug/l,,Historical,,Actual,,,,,,,,,,,01040,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.99201415,Sample-Routine,Water,Surface Water,1992-05-19,10:00:00,MST,,,,,30,meters,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-334040111062000,,SIO2 VALUE UPDATED DUE TO DATA TRANS,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-48834290,,,Copper,Dissolved,10,ug/l,,Historical,,Actual,,,,,,,,,,,01040,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.99201417,Sample-Routine,Water,Surface Water,1992-05-19,11:45:00,MST,,,,,2,meters,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-334040111062000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-48834419,,,Copper,Dissolved,10,ug/l,,Historical,,Actual,,,,,,,,,,,01040,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.99201414,Sample-Routine,Water,Surface Water,1992-03-25,10:00:00,MST,,,,,10,meters,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-334040111062000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-48834220,Not Detected,,Copper,Dissolved,,,,Historical,,Actual,,,,,,,,,,,01040,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101",,,,,Historical Lower Reporting Limit,10.0,ug/l,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.99000075,Sample-Routine,Water,Surface Water,1990-09-13,13:30:00,MST,,,,,20,meters,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-334040111091000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-48724607,Not Detected,,Copper,Dissolved,,,,Historical,,Actual,,,,,,,,,,,01040,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101",,,,,Historical Lower Reporting Limit,10.0,ug/l,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.99001090,Sample-Routine,Water,Surface Water,1990-09-13,14:00:00,MST,,,,,4,meters,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-334040111091000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-48753088,Not Detected,,Copper,Dissolved,,,,Historical,,Actual,,,,,,,,,,,01040,,,,,,,,,,,,,,,,,,Historical Lower Reporting Limit,100,ug/l,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.99001089,Sample-Routine,Water,Surface Water,1990-09-13,13:45:00,MST,,,,,11.5,meters,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-334040111091000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-48753023,Not Detected,,Copper,Dissolved,,,,Historical,,Actual,,,,,,,,,,,01040,,,,,,,,,,,,,,,,,,Historical Lower Reporting Limit,100,ug/l,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.99101010,Sample-Routine,Water,Surface Water,1991-04-16,14:00:00,MST,,,,,30,meters,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-334040111091000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-48788366,Not Detected,,Copper,Dissolved,,,,Historical,,Actual,,,,,,,,,,,01040,,,,,,,,,GF088,USGS,"Copper, wf, GF-AAS",,"USGS OF 93-125, p 71",,,,,Historical Lower Reporting Limit,1.0,ug/l,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.99101014,Sample-Routine,Water,Surface Water,1991-08-20,13:00:00,MST,,,,,2,meters,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-334040111091000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-48788636,Not Detected,,Copper,Dissolved,,,,Historical,,Actual,,,,,,,,,,,01040,,,,,,,,,GF088,USGS,"Copper, wf, GF-AAS",,"USGS OF 93-125, p 71",,,,,Historical Lower Reporting Limit,1.0,ug/l,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.99201420,Sample-Routine,Water,Surface Water,1991-12-10,10:45:00,MST,,,,,3,meters,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-334040111091000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-48834622,Not Detected,,Copper,Dissolved,,,,Historical,,Actual,,,,,,,,,,,01040,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101",,,,,Historical Lower Reporting Limit,10.0,ug/l,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.99101013,Sample-Routine,Water,Surface Water,1991-08-20,12:15:00,MST,,,,,10,meters,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-334040111091000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-48788567,Not Detected,,Copper,Dissolved,,,,Historical,,Actual,,,,,,,,,,,01040,,,,,,,,,GF088,USGS,"Copper, wf, GF-AAS",,"USGS OF 93-125, p 71",,,,,Historical Lower Reporting Limit,1.0,ug/l,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.99101011,Sample-Routine,Water,Surface Water,1991-04-16,16:00:00,MST,,,,,1,meters,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-334040111091000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-48788433,,,Copper,Dissolved,2.0,ug/l,,Historical,,Actual,,,,,,,,,,,01040,,,,,,,,,GF088,USGS,"Copper, wf, GF-AAS",,"USGS OF 93-125, p 71",,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.99201419,Sample-Routine,Water,Surface Water,1991-12-10,10:00:00,MST,,,,,21,meters,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-334040111091000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-48834555,Not Detected,,Copper,Dissolved,,,,Historical,,Actual,,,,,,,,,,,01040,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101",,,,,Historical Lower Reporting Limit,10.0,ug/l,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.99101012,Sample-Routine,Water,Surface Water,1991-08-20,11:30:00,MST,,,,,20,meters,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-334040111091000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-48788501,,,Copper,Dissolved,2.0,ug/l,,Historical,,Actual,,,,,,,,,,,01040,,,,,,,,,GF088,USGS,"Copper, wf, GF-AAS",,"USGS OF 93-125, p 71",,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.99201418,Sample-Routine,Water,Surface Water,1991-12-10,09:00:00,MST,,,,,45,meters,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-334040111091000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-48834487,Not Detected,,Copper,Dissolved,,,,Historical,,Actual,,,,,,,,,,,01040,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101",,,,,Historical Lower Reporting Limit,10.0,ug/l,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.99101009,Sample-Routine,Water,Surface Water,1991-04-16,14:30:00,MST,,,,,10,meters,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-334040111091000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-48788299,,,Copper,Dissolved,2.0,ug/l,,Historical,,Actual,,,,,,,,,,,01040,,,,,,,,,GF088,USGS,"Copper, wf, GF-AAS",,"USGS OF 93-125, p 71",,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.99201422,Sample-Routine,Water,Surface Water,1992-05-20,11:30:00,MST,,,,,16,meters,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-334040111091000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-48834752,,,Copper,Dissolved,10,ug/l,,Historical,,Actual,,,,,,,,,,,01040,,,,,,,,,,,,,,,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.99201423,Sample-Routine,Water,Surface Water,1992-05-20,12:15:00,MST,,,,,32,meters,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-334040111091000,,SIO2 VALUE UPDATED DUE TO DATA TRANS,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-48834809,Not Detected,,Copper,Dissolved,,,,Historical,,Actual,,,,,,,,,,,01040,,,,,,,,,,,,,,,,,,Historical Lower Reporting Limit,10,ug/l,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.99201421,Sample-Routine,Water,Surface Water,1992-05-20,10:45:00,MST,,,,,2,meters,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-334040111091000,,,,"Stable, normal stage",Routine sample,,,USGS,USGS,USGS,,Unknown,NWIS-48834691,Not Detected,,Copper,Dissolved,,,,Historical,,Actual,,,,,,,,,,,01040,,,,,,,,,,,,,,,,,,Historical Lower Reporting Limit,10,ug/l,,,NWIS
21ARIZ_WQX,Arizona Department Of Environmental Quality,21ARIZ_WQX-90798RW-swdb,Sample-Routine,Water,Surface Water,2008-09-29,13:45:00,MST,,,,,,,,6,m,6,m,CLP,CLP,,21ARIZ_WQX-SRSAG-B,SAGUARO LAKE - MID LAKE SITE,,,,,33.5631958000,-111.4826192000,AZDEQ SOPs,21ARIZ_WQX,AZDEQ Standard Operating Procedures,,Water Bottle,STORET-552366355,Not Detected,,Copper,Dissolved,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,EPA 200.7,21ARIZ_WQX,METALS,,,"Aquatic Consulting And Testing, Inc.",,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21ARIZ_WQX/activities/21ARIZ_WQX-90798RW-swdb/results/552366355/resdetectqntlmts,Lower Reporting Limit,10,ug/l,,2016-05-12 04:02:36.0,STORET
21ARIZ_WQX,Arizona Department Of Environmental Quality,21ARIZ_WQX-83051W-swdb,Sample-Routine,Water,Surface Water,2008-02-26,12:00:00,MST,,,,,,,,.7,m,.7,m,CLP,CLP,,21ARIZ_WQX-SRSAG-B,SAGUARO LAKE - MID LAKE SITE,,,,,33.5631958000,-111.4826192000,AZDEQ SOPs,21ARIZ_WQX,AZDEQ Standard Operating Procedures,,Water Bottle,STORET-552276622,Not Detected,,Copper,Total,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,EPA 200.7,21ARIZ_WQX,METALS,,,Arizona State Lab,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21ARIZ_WQX/activities/21ARIZ_WQX-83051W-swdb/results/552276622/resdetectqntlmts,Lower Reporting Limit,.01,mg/l,,2016-05-12 03:41:41.0,STORET
21ARIZ_WQX,Arizona Department Of Environmental Quality,21ARIZ_WQX-90480RW-swdb,Field Msr/Obs,Water,Surface Water,2008-07-31,10:00:00,MST,,,,,,,,.5,m,.5,m,CLP,CLP,,21ARIZ_WQX-SRSAG-B,SAGUARO LAKE - MID LAKE SITE,,,,,33.5631958000,-111.4826192000,AZDEQ SOPs,21ARIZ_WQX,AZDEQ Standard Operating Procedures,,Water Bottle,STORET-552301221,Not Detected,,Copper,Total,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,EPA 200.7,21ARIZ_WQX,METALS,,,"Aquatic Consulting And Testing, Inc.",,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21ARIZ_WQX/activities/21ARIZ_WQX-90480RW-swdb/results/552301221/resdetectqntlmts,Lower Reporting Limit,10,ug/l,,2016-05-12 03:48:00.0,STORET
21ARIZ_WQX,Arizona Department Of Environmental Quality,21ARIZ_WQX-83379W-swdb,Sample-Routine,Water,Surface Water,2008-05-29,10:30:00,MST,,,,,,,,,,,,CLP,CLP,,21ARIZ_WQX-SRSAG-B,SAGUARO LAKE - MID LAKE SITE,,,,,33.5631958000,-111.4826192000,AZDEQ SOPs,21ARIZ_WQX,AZDEQ Standard Operating Procedures,,Water Bottle,STORET-552186577,Not Detected,,Copper,Dissolved,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,EPA 200.7,21ARIZ_WQX,METALS,,,Arizona State Lab,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21ARIZ_WQX/activities/21ARIZ_WQX-83379W-swdb/results/552186577/resdetectqntlmts,Lower Reporting Limit,.01,mg/l,,2016-05-12 03:19:58.0,STORET
21ARIZ_WQX,Arizona Department Of Environmental Quality,21ARIZ_WQX-90798RW-swdb,Sample-Routine,Water,Surface Water,2008-09-29,13:45:00,MST,,,,,,,,6,m,6,m,CLP,CLP,,21ARIZ_WQX-SRSAG-B,SAGUARO LAKE - MID LAKE SITE,,,,,33.5631958000,-111.4826192000,AZDEQ SOPs,21ARIZ_WQX,AZDEQ Standard Operating Procedures,,Water Bottle,STORET-552366336,,,Copper,Total,10,ug/l,,Final,,Actual,,,,,,,,,,,,,,,,,,,,EPA 200.7,21ARIZ_WQX,METALS,,,"Aquatic Consulting And Testing, Inc.",,,,,,,,2016-05-12 04:02:36.0,STORET
21ARIZ_WQX,Arizona Department Of Environmental Quality,21ARIZ_WQX-90481RW-swdb,Field Msr/Obs,Water,Surface Water,2008-07-31,10:10:00,MST,,,,,,,,4,m,4,m,CLP,CLP,,21ARIZ_WQX-SRSAG-B,SAGUARO LAKE - MID LAKE SITE,,,,,33.5631958000,-111.4826192000,AZDEQ SOPs,21ARIZ_WQX,AZDEQ Standard Operating Procedures,,Water Bottle,STORET-552309449,Not Detected,,Copper,Total,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,EPA 200.7,21ARIZ_WQX,METALS,,,"Aquatic Consulting And Testing, Inc.",,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21ARIZ_WQX/activities/21ARIZ_WQX-90481RW-swdb/results/552309449/resdetectqntlmts,Lower Reporting Limit,10,ug/l,,2016-05-12 03:50:04.0,STORET
21ARIZ_WQX,Arizona Department Of Environmental Quality,21ARIZ_WQX-83048W-swdb,Sample-Routine,Water,Surface Water,2008-02-26,12:30:00,MST,,,,,,,,5,m,5,m,CLP,CLP,,21ARIZ_WQX-SRSAG-B,SAGUARO LAKE - MID LAKE SITE,,,,,33.5631958000,-111.4826192000,AZDEQ SOPs,21ARIZ_WQX,AZDEQ Standard Operating Procedures,,Water Bottle,STORET-552285097,Not Detected,,Copper,Total,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,EPA 200.7,21ARIZ_WQX,METALS,,,Arizona State Lab,,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21ARIZ_WQX/activities/21ARIZ_WQX-83048W-swdb/results/552285097/resdetectqntlmts,Lower Reporting Limit,.01,mg/l,,2016-05-12 03:43:45.0,STORET
