OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000072,Sample-Routine,Water,Surface Water,2020-02-03,11:45:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09380000,,"L-0360069 PEST sample was broken and the contents lost due to a refrigeration failure in login.  KMS, 2/12/20",,"Stable, normal stage",Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US D-96-A1 Bag Sampler,NWIS-118757048,,,Calcium,Dissolved,58.6,mg/l,,Accepted,,Actual,,,,,,,,,,,00915,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-02-12,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000072,Sample-Routine,Water,Surface Water,2020-02-03,11:45:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09380000,,"L-0360069 PEST sample was broken and the contents lost due to a refrigeration failure in login.  KMS, 2/12/20",,"Stable, normal stage",Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US D-96-A1 Bag Sampler,NWIS-118757049,,,Magnesium,Dissolved,18.9,mg/l,,Accepted,,Actual,,,,,,,,,,,00925,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-02-12,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000072,Sample-Routine,Water,Surface Water,2020-02-03,11:45:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09380000,,"L-0360069 PEST sample was broken and the contents lost due to a refrigeration failure in login.  KMS, 2/12/20",,"Stable, normal stage",Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US D-96-A1 Bag Sampler,NWIS-118757050,,,Sodium,Dissolved,49.9,mg/l,,Accepted,,Actual,,,,,,,,,,,00930,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-02-12,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000072,Sample-Routine,Water,Surface Water,2020-02-03,11:45:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09380000,,"L-0360069 PEST sample was broken and the contents lost due to a refrigeration failure in login.  KMS, 2/12/20",,"Stable, normal stage",Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US D-96-A1 Bag Sampler,NWIS-118757052,,,"Sodium, percent total cations",,32,%,,Accepted,,Actual,,,,,,,,,,,00932,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000072,Sample-Routine,Water,Surface Water,2020-02-03,11:45:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09380000,,"L-0360069 PEST sample was broken and the contents lost due to a refrigeration failure in login.  KMS, 2/12/20",,"Stable, normal stage",Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US D-96-A1 Bag Sampler,NWIS-118757053,,,Potassium,Dissolved,2.93,mg/l,,Accepted,,Actual,,,,,,,,,,,00935,,,,,,,,,PLO03,USGS,"Potassium, wf, by ICP-OES",,Standard Methods,"USGS-National Water Quality Lab, Denver, CO",2020-02-12,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000158,Sample-Routine,Water,Surface Water,2020-03-25,11:40:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09380000,,L-0870042 FED EX LATE DELIVERY. RECEIVED 3/27/2020.,,"Stable, high stage",Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US D-96-A1 Bag Sampler,NWIS-119045274,,,Calcium,Dissolved,67.3,mg/l,,Accepted,,Actual,,,,,,,,,,,00915,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-04-06,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000158,Sample-Routine,Water,Surface Water,2020-03-25,11:40:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09380000,,L-0870042 FED EX LATE DELIVERY. RECEIVED 3/27/2020.,,"Stable, high stage",Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US D-96-A1 Bag Sampler,NWIS-119045275,,,Magnesium,Dissolved,21.7,mg/l,,Accepted,,Actual,,,,,,,,,,,00925,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-04-06,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000158,Sample-Routine,Water,Surface Water,2020-03-25,11:40:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09380000,,L-0870042 FED EX LATE DELIVERY. RECEIVED 3/27/2020.,,"Stable, high stage",Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US D-96-A1 Bag Sampler,NWIS-119045276,,,Sodium,Dissolved,63.0,mg/l,,Accepted,,Actual,,,,,,,,,,,00930,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-04-06,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000158,Sample-Routine,Water,Surface Water,2020-03-25,11:40:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09380000,,L-0870042 FED EX LATE DELIVERY. RECEIVED 3/27/2020.,,"Stable, high stage",Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US D-96-A1 Bag Sampler,NWIS-119045278,,,"Sodium, percent total cations",,34,%,,Accepted,,Actual,,,,,,,,,,,00932,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000158,Sample-Routine,Water,Surface Water,2020-03-25,11:40:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09380000,,L-0870042 FED EX LATE DELIVERY. RECEIVED 3/27/2020.,,"Stable, high stage",Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US D-96-A1 Bag Sampler,NWIS-119045279,,,Potassium,Dissolved,3.36,mg/l,,Accepted,,Actual,,,,,,,,,,,00935,,,,,,,,,PLO03,USGS,"Potassium, wf, by ICP-OES",,Standard Methods,"USGS-National Water Quality Lab, Denver, CO",2020-04-06,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000222,Sample-Routine,Water,Surface Water,2020-05-06,12:00:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09380000,,"L-1280129 Date/Time on DICs, DOC, FA, FCC, FU, WCA, RU, and TBY samples is 5/14/2020.",,"Stable, normal stage",Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US D-96-A1 Bag Sampler,NWIS-119229699,,,Calcium,Dissolved,63.2,mg/l,,Accepted,,Actual,,,,,,,,,,,00915,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-06-02,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000222,Sample-Routine,Water,Surface Water,2020-05-06,12:00:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09380000,,"L-1280129 Date/Time on DICs, DOC, FA, FCC, FU, WCA, RU, and TBY samples is 5/14/2020.",,"Stable, normal stage",Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US D-96-A1 Bag Sampler,NWIS-119229700,,,Magnesium,Dissolved,20.5,mg/l,,Accepted,,Actual,,,,,,,,,,,00925,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-06-02,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000222,Sample-Routine,Water,Surface Water,2020-05-06,12:00:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09380000,,"L-1280129 Date/Time on DICs, DOC, FA, FCC, FU, WCA, RU, and TBY samples is 5/14/2020.",,"Stable, normal stage",Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US D-96-A1 Bag Sampler,NWIS-119229701,,,Sodium,Dissolved,55.8,mg/l,,Accepted,,Actual,,,,,,,,,,,00930,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-06-02,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000222,Sample-Routine,Water,Surface Water,2020-05-06,12:00:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09380000,,"L-1280129 Date/Time on DICs, DOC, FA, FCC, FU, WCA, RU, and TBY samples is 5/14/2020.",,"Stable, normal stage",Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US D-96-A1 Bag Sampler,NWIS-119229703,,,"Sodium, percent total cations",,33,%,,Accepted,,Actual,,,,,,,,,,,00932,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000222,Sample-Routine,Water,Surface Water,2020-05-06,12:00:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09380000,,"L-1280129 Date/Time on DICs, DOC, FA, FCC, FU, WCA, RU, and TBY samples is 5/14/2020.",,"Stable, normal stage",Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US D-96-A1 Bag Sampler,NWIS-119229704,,,Potassium,Dissolved,3.01,mg/l,,Accepted,,Actual,,,,,,,,,,,00935,,,,,,,,,PLO03,USGS,"Potassium, wf, by ICP-OES",,Standard Methods,"USGS-National Water Quality Lab, Denver, CO",2020-06-02,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000225,Quality Control Sample-Field Replicate,Water,Surface Water,2020-05-19,11:15:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09380000,,,,"Stable, normal stage",Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US D-96-A1 Bag Sampler,NWIS-119268407,,,Calcium,Dissolved,62.1,mg/l,,Accepted,,Actual,,,,,,,,,,,00915,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-06-04,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000225,Quality Control Sample-Field Replicate,Water,Surface Water,2020-05-19,11:15:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09380000,,,,"Stable, normal stage",Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US D-96-A1 Bag Sampler,NWIS-119268408,,,Magnesium,Dissolved,19.7,mg/l,,Accepted,,Actual,,,,,,,,,,,00925,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-06-04,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000225,Quality Control Sample-Field Replicate,Water,Surface Water,2020-05-19,11:15:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09380000,,,,"Stable, normal stage",Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US D-96-A1 Bag Sampler,NWIS-119268409,,,Sodium,Dissolved,53.8,mg/l,,Accepted,,Actual,,,,,,,,,,,00930,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2020-06-04,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000225,Quality Control Sample-Field Replicate,Water,Surface Water,2020-05-19,11:15:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09380000,,,,"Stable, normal stage",Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US D-96-A1 Bag Sampler,NWIS-119268411,,,"Sodium, percent total cations",,33,%,,Accepted,,Actual,,,,,,,,,,,00932,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02000225,Quality Control Sample-Field Replicate,Water,Surface Water,2020-05-19,11:15:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09380000,,,,"Stable, normal stage",Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US D-96-A1 Bag Sampler,NWIS-119268412,,,Potassium,Dissolved,2.99,mg/l,,Accepted,,Actual,,,,,,,,,,,00935,,,,,,,,,PLO03,USGS,"Potassium, wf, by ICP-OES",,Standard Methods,"USGS-National Water Quality Lab, Denver, CO",2020-06-04,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100035,Sample-Routine,Water,Surface Water,2020-12-17,11:30:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09380000,,,,"Stable, normal stage",Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US D-96-A1 Bag Sampler,NWIS-120474816,,,Calcium,Dissolved,57.2,mg/l,,Preliminary,,Actual,,,,,,,,,,,00915,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2021-01-27,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100035,Sample-Routine,Water,Surface Water,2020-12-17,11:30:00,MST,,,,,,,,,,,,National Water Quality Assessment Program (NAWQA),,U.S. Geological Survey-Water Resources Discipline,USGS-09380000,,,,"Stable, normal stage",Routine sample,,,20,USGS parameter code 82398,Equal discharge increment (edi),,US D-96-A1 Bag Sampler,NWIS-120474817,,,Magnesium,Dissolved,19.8,mg/l,,Preliminary,,Actual,,,,,,,,,,,00925,,,,,,,,,PLA11,USGS,"Metals, wf, ICP-AES (NWQL)",,"USGS OF 93-125, p 101","USGS-National Water Quality Lab, Denver, CO",2021-01-27,,,,,,,,NWIS
