OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100024,Sample-Routine,Water,Surface Water,2020-11-03,12:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Not applicable,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-120399867,,,Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],,11.2,None,,Preliminary,,Actual,,,,,,,,,,,00931,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100024,Sample-Routine,Water,Surface Water,2020-11-03,12:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Not applicable,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-120399882,,,"Detergent, severity (choice list)",,None,code,,Preliminary,,Actual,,,,,,,,,,,01305,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100024,Sample-Routine,Water,Surface Water,2020-11-03,12:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Not applicable,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-120399883,,,Floating Garbage Severity (choice List),,None,code,,Preliminary,,Actual,,,,,,,,,,,01320,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100024,Sample-Routine,Water,Surface Water,2020-11-03,12:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Not applicable,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-120399884,,,"Odor, atmospheric",,Mild,code,,Preliminary,,Actual,,,,,,,,,,,01330,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100024,Sample-Routine,Water,Surface Water,2020-11-03,12:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Not applicable,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-120399885,,,"Fish Kill, Severity (choice list)",,Mild,code,,Preliminary,,Actual,,,,,,,,,,,01340,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100024,Sample-Routine,Water,Surface Water,2020-11-03,12:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Not applicable,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-120399886,,,Floating debris - severity (choice list),,None,code,,Preliminary,,Actual,,,,,,,,,,,01345,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100024,Sample-Routine,Water,Surface Water,2020-11-03,12:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Not applicable,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-120399887,,,Turbidity severity (choice list),,Moderate,code,,Preliminary,,Actual,,,,,,,,,,,01350,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100024,Sample-Routine,Water,Surface Water,2020-11-03,12:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Not applicable,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-120399888,,,Alkalinity,Dissolved,224,mg/l CaCO3,,Preliminary,,Actual,,,,,,,,,,Hold time parameters were exceeded during the collection to analysis phase of sample processing. Holding-Time Violation - for accurate results measure in the field without delay. See NWQL Tech Memo 95-01.,29801,,,,,,,,,TT040,USGS,"Alkalinity, titr. pH 4.5 (NWQL)",,"USGS TWRI 5-A1/1989, p 57","USGS-National Water Quality Lab, Denver, CO",2020-12-07,holding time exceededsee result comment,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100024,Sample-Routine,Water,Surface Water,2020-11-03,12:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Not applicable,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-120399889,,,Alkalinity,Dissolved,297,mg/l CaCO3,,Preliminary,,Actual,,,,,,,,,,,39086,,,,,,,,,TT061,USGS,"Alkalinity, IPT, Hach",,USGS National Field Manual,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100024,Sample-Routine,Water,Surface Water,2020-11-03,12:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Not applicable,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-120399891,,,Turbidity,Total,10,NTRU,,Preliminary,,Estimated,,,,,,,,,,,63676,,,,,,,,,TS098,USGS,"HACH, sensor model 2100 AN, R-On",,,"USGS-National Water Quality Lab, Denver, CO",2020-11-06,value extrapolated at low end,,Lower Reporting Limit,2,NTRU,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100024,Sample-Routine,Water,Surface Water,2020-11-03,12:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Not applicable,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-120399892,,,Total dissolved solids,Dissolved,3300,mg/l,,Preliminary,,Actual,,,180 deg C,,,,,,,,70300,,,,,,,,,ROE10,USGS,"ROE, wf, 180C, by weight (NWQL)",,"USGS TWRI 5-A1/1989, p 437","USGS-National Water Quality Lab, Denver, CO",2020-12-11,,,Lower Reporting Limit,20,mg/l,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100024,Sample-Routine,Water,Surface Water,2020-11-03,12:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Not applicable,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-120399893,,,Total dissolved solids,Dissolved,3250,mg/l,,Preliminary,,Actual,,,,,,,,,,,70301,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100024,Sample-Routine,Water,Surface Water,2020-11-03,12:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Not applicable,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-120399894,,,Total dissolved solids,Dissolved,4.49,tons/ac ft,,Preliminary,,Actual,,,,,,,,,,,70303,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100024,Sample-Routine,Water,Surface Water,2020-11-03,12:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Not applicable,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-120399903,,,Specific conductance,Total,5380,uS/cm @25C,,Preliminary,,Actual,,,25 deg C,,,,,,,,90095,,,,,,,,,WHT03,USGS,"Specific cond, lab, autom bridge",,"USGS TWRI 5-A1/1989, p 461","USGS-National Water Quality Lab, Denver, CO",2020-11-05,,,Lower Reporting Limit,5,uS/cm @25C,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100159,Sample-Routine,Water,Surface Water,2021-04-06,10:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Routine sample,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-121071916,,,"Temperature, water",,21.4,deg C,,Preliminary,,Actual,,,,,,,,,,,00010,,,,,,,,,THM01,USGS,"Temperature, water, thermistor",,"USGS National Field Manual, Chapter A6.1",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100159,Sample-Routine,Water,Surface Water,2021-04-06,10:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Routine sample,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-121071917,,,Barometric pressure,,735,mm/Hg,,Preliminary,,Actual,,,,,,,,,,,00025,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100159,Sample-Routine,Water,Surface Water,2021-04-06,10:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Routine sample,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-121071919,,,Specific conductance,Total,4940,uS/cm @25C,,Preliminary,,Actual,,,25 deg C,,,,,,,,00095,,,,,,,,,SC001,USGS,Specific conductance sensor,,"USGS National Field Manual, Chapter A6.3",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100159,Sample-Routine,Water,Surface Water,2021-04-06,10:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Routine sample,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-121071920,Detected Not Quantified,,"Acidity, (H+)",Total,,,,Preliminary,,Actual,,,,,,,,,,,00191,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,Lower Quantitation Limit,0.001,mg/l,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100159,Sample-Routine,Water,Surface Water,2021-04-06,10:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Routine sample,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-121071923,,,pH,Total,8.4,std units,,Preliminary,,Actual,,,,,,,,,,,00400,,,,,,,,,PROBE,USGS,"pH, field, electrometric",,"USGS National Field Manual, Chapter A6.4",U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100159,Sample-Routine,Water,Surface Water,2021-04-06,10:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Routine sample,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-121071924,,,pH,Total,7.8,std units,,Preliminary,,Actual,,,,,,,,,,,00403,,,,,,,,,EL006,USGS,"pH, lab, auto glass electrode",,"USGS TWRI 5-A1/1989, p 363","USGS-National Water Quality Lab, Denver, CO",2021-04-16,,,Lower Reporting Limit,0.1,std units,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100159,Sample-Routine,Water,Surface Water,2021-04-06,10:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Routine sample,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-121071936,,,"Hardness, Ca, Mg",,814,mg/l CaCO3,,Preliminary,,Actual,,,,,,,,,,,00900,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100159,Sample-Routine,Water,Surface Water,2021-04-06,10:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Routine sample,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-121071937,,,"Hardness, non-carbonate",Dissolved,595,mg/l CaCO3,,Preliminary,,Actual,,,,,,,,,,,00904,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100159,Sample-Routine,Water,Surface Water,2021-04-06,10:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Routine sample,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-121071938,,,"Hardness, non-carbonate",Dissolved,602,mg/l CaCO3,,Preliminary,,Actual,,,,,,,,,,,00905,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100159,Sample-Routine,Water,Surface Water,2021-04-06,10:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Routine sample,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-121071945,,,Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],,11.3,None,,Preliminary,,Actual,,,,,,,,,,,00931,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100159,Sample-Routine,Water,Surface Water,2021-04-06,10:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Routine sample,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-121071984,,,Alkalinity,Dissolved,212,mg/l CaCO3,,Preliminary,,Actual,,,,,,,,,,Holding-Time Violation - for accurate results measure in the field without delay. See NWQL Tech Memo 95-01.,29801,,,,,,,,,TT040,USGS,"Alkalinity, titr. pH 4.5 (NWQL)",,"USGS TWRI 5-A1/1989, p 57","USGS-National Water Quality Lab, Denver, CO",2021-04-28,holding time exceededsee result comment,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100159,Sample-Routine,Water,Surface Water,2021-04-06,10:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Routine sample,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-121071985,,,Alkalinity,Dissolved,220,mg/l CaCO3,,Preliminary,,Actual,,,,,,,,,,,39086,,,,,,,,,TT061,USGS,"Alkalinity, IPT, Hach",,USGS National Field Manual,U.S. Geological Survey-Water Resources Discipline,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100159,Sample-Routine,Water,Surface Water,2021-04-06,10:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Routine sample,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-121071987,,,Total dissolved solids,Dissolved,3190,mg/l,,Preliminary,,Actual,,,180 deg C,,,,,,,,70300,,,,,,,,,ROE10,USGS,"ROE, wf, 180C, by weight (NWQL)",,"USGS TWRI 5-A1/1989, p 437","USGS-National Water Quality Lab, Denver, CO",2021-04-26,,,Lower Reporting Limit,20,mg/l,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100159,Sample-Routine,Water,Surface Water,2021-04-06,10:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Routine sample,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-121071988,,,Total dissolved solids,Dissolved,2820,mg/l,,Preliminary,,Actual,,,,,,,,,,,70301,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
USGS-AZ,USGS Arizona Water Science Center,nwisaz.01.02100159,Sample-Routine,Water,Surface Water,2021-04-06,10:30:00,MST,,,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-332055112344901,,,,Not determined,Routine sample,,,40,USGS parameter code 82398,Multiple verticals,,US DH-81,NWIS-121071989,,,Total dissolved solids,Dissolved,4.34,tons/ac ft,,Preliminary,,Actual,,,,,,,,,,,70303,,,,,,,,,ALGOR,USGS,Computation by NWIS algorithm,,"NWIS User's Manual, QW System, Section 3.6.7",,,,,,,,,,NWIS
